"id";"event_id";"bib";"video_count";"videoname";"upload_time";"orientation";"screen_id";"played_time";"played";"detection_time";"detection";"ready";"approved";"trash";"remark"
"1";;"35122";"1";;"2025-09-17 08:23:58";"0";"1";NULL;"0";NULL;"0";"0";"1";"1";NULL
"2";;"24102";"1";"24102-1.mp4";"2025-09-17 11:23:18";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"3";;"13780";"1";"13780-1.mp4";"2025-09-19 15:41:42";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Go Papa"
"4";;"6297";"1";"6297-1.mov";"2025-09-20 20:34:59";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"5";;"10651";"1";"10651-1.mov";"2025-09-24 10:48:33";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Hund Eislecken"
"6";;"9059";"1";"9059-1.mov";"2025-09-24 11:48:14";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"7";;"8160";"1";"8160-1.MOV";"2025-09-24 13:29:20";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"8";;"2844";"1";"2844-1.mp4";"2025-09-24 17:28:37";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"9";;"19353";"1";"19353-1.mov";"2025-09-25 10:20:08";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"ohne Ton"
"10";;"7489";"1";"7489-1.mov";"2025-09-26 10:47:07";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"11";;"7489";"2";;"2025-09-26 10:47:09";"0";"1";NULL;"0";NULL;"0";"0";"1";"1";NULL
"12";;"4362";"1";"4362-1.mp4";"2025-09-26 15:57:00";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"13";;"20544";"1";"20544-1.mov";"2025-09-26 19:01:20";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"14";;"10194";"1";"10194-1.mov";"2025-09-27 11:46:23";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"15";;"20199";"1";;"2025-09-27 15:19:57";"0";"1";NULL;"0";NULL;"0";"0";"1";"1";NULL
"16";;"16303";"1";"16303-1.mp4";"2025-09-27 15:25:24";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"17";;"11157";"1";"11157-1.mov";"2025-09-27 15:28:27";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Run for Fries"
"18";;"16304";"1";"16304-1.mp4";"2025-09-27 15:38:59";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";NULL
"19";;"14071";"1";"14071-1.mp4";"2025-09-27 19:40:10";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Kuhglocken"
"20";;"21288";"1";"21288-1.mov";"2025-09-28 09:35:26";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"21";;"21288";"2";"21288-2.mov";"2025-09-28 09:37:00";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"22";;"21288";"3";"21288-3.mov";"2025-09-28 09:37:47";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"23";;"13242";"1";"13242-1.mp4";"2025-09-28 09:50:13";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Mega!"
"24";;"16303";"2";"16303-2.mp4";"2025-09-28 11:41:21";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"25";;"17866";"1";"17866-1.mp4";"2025-09-28 11:45:59";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"26";;"17095";"1";"17095-1.mp4";"2025-09-28 11:46:20";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"27";;"180";"1";;"2025-09-28 12:31:58";"2";"1";NULL;"0";NULL;"0";"0";"1";"1";"TEST"
"28";;"180";"2";;"2025-09-28 12:33:13";"2";"1";NULL;"0";NULL;"0";"0";"1";"1";"TEST"
"29";;"180";"3";;"2025-09-28 12:36:52";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";"TEST"
"30";;"180";"4";;"2025-09-28 12:37:15";"2";"1";NULL;"0";NULL;"0";"0";"1";"1";"TEST"
"31";;"180";"5";"180-5.mov";"2025-09-28 12:48:59";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";"TEST"
"32";;"14567";"1";"14567-1.mov";"2025-09-28 16:21:02";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"mit Musik"
"33";;"14572";"1";"14572-1.mov";"2025-09-28 16:21:43";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"mit Musik"
"34";;"6541";"1";"6541-1.mov";"2025-09-28 19:15:14";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"ohne Ton, aber aufwendig"
"35";;"14052";"1";"14052-1.mp4";"2025-09-28 21:07:25";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Helga!"
"36";;"21185";"1";"21185-1.mp4";"2025-09-29 09:23:50";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"37";;"28797";"1";"28797-1.mov";"2025-09-29 11:41:39";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"38";;"32020";"1";"32020-1.mov";"2025-09-29 16:18:03";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Kein Ton, aber süß!"
"39";;"29312";"1";"29312-1.mp4";"2025-09-29 17:52:37";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Antrag!!!"
"40";;"29312";"2";"29312-2.mp4";"2025-09-29 17:55:09";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"41";;"29312";"3";"29312-3.mp4";"2025-09-29 17:56:44";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"42";;"9135";"1";"9135-1.mov";"2025-09-29 19:18:18";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"43";;"18494";"1";"18494-1.mp4";"2025-09-29 23:03:38";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Go Lena!"
"44";;"26820";"1";"26820-1.mov";"2025-09-30 08:25:59";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Motivation mit Cola-Angel!"
"45";;"27910";"1";"27910-1.mov";"2025-09-30 08:26:31";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Motivation mit Cola-Angel!"
"46";;"27910";"2";"27910-2.mov";"2025-09-30 08:29:12";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Motivation mit Cola-Angel!"
"47";;"27907";"1";"27907-1.mov";"2025-09-30 08:29:32";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Motivation mit Cola-Angel!"
"48";;"28122";"1";"28122-1.mov";"2025-09-30 08:29:52";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Motivation mit Cola-Angel!"
"49";;"2783";"1";"2783-1.mov";"2025-09-30 09:33:11";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Sehr nett!!"
"50";;"9974";"1";"9974-1.mp4";"2025-09-30 11:02:39";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"International!!!"
"51";;"24640";"1";"24640-1.mov";"2025-09-30 16:10:33";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"52";;"24640";"2";"24640-2.mov";"2025-09-30 16:14:43";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"53";;"24640";"3";"24640-3.mov";"2025-09-30 16:31:13";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"54";;"33188";"1";"33188-1.mov";"2025-09-30 18:07:23";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Grüße vom Rad"
"55";;"33188";"2";"33188-2.mov";"2025-09-30 18:08:02";"2";"1";NULL;"0";NULL;"0";"0";"1";"1";"doppelt"
"56";;"15564";"1";"15564-1.MOV";"2025-09-30 18:36:37";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Gruß mit Pferd"
"57";;"10549";"1";"10549-1.mov";"2025-09-30 19:15:05";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Süße Kids!!!"
"58";;"16197";"1";"16197-1.mov";"2025-10-01 07:42:23";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"59";;"509";"1";"509-1.mov";"2025-10-01 07:49:55";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"60";;"163";"1";"163-1.mov";"2025-10-01 07:55:41";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"61";;"5519";"1";"5519-1.mp4";"2025-10-01 08:42:53";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Hund"
"62";;"2779";"1";"2779-1.mp4";"2025-10-01 09:15:26";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"63";;"12961";"1";"12961-1.mp4";"2025-10-01 10:10:17";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"64";;"15564";"2";"15564-2.mov";"2025-10-01 10:27:27";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"65";;"3621";"1";"3621-1.mov";"2025-10-01 11:01:29";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"66";;"3521";"1";"3521-1.mov";"2025-10-01 11:01:56";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"67";;"1236";"1";"1236-1.mov";"2025-10-01 11:19:55";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"68";;"13184";"1";"13184-1.mov";"2025-10-01 11:20:48";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"69";;"12828";"1";"12828-1.mov";"2025-10-01 11:21:29";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"70";;"13158";"1";"13158-1.mov";"2025-10-01 11:22:01";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
